               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1009,            0.025806,                   0,           0.0058159,             0.38788,           0.0064145,           0.0017177,            0.068367,            0.016097,                   0,            0.070882,           0.0032353,           0.0032353
                   1,            0.074427,             0.02087,                   0,            0.001908,             0.87273,            0.028595,           0.0080702,            0.055184,             0.01271,                   0,            0.040817,           0.0065036,           0.0065036
                   2,            0.072107,            0.017375,                   0,           0.0027886,             0.86061,            0.027968,            0.006804,            0.060052,             0.01008,                   0,            0.010686,           0.0097059,           0.0097059
                   3,             0.06592,            0.015693,                   0,            0.012774,             0.82424,            0.063282,            0.020555,            0.050866,            0.010787,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.060473,            0.015649,                   0,            0.023002,             0.82424,             0.20288,            0.068739,            0.046343,            0.010243,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.057106,             0.01579,                   0,              0.1224,             0.62424,             0.22136,            0.069295,            0.045053,           0.0097937,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.053964,            0.015131,                   0,              0.2384,             0.61212,             0.32288,             0.14126,            0.040644,           0.0095658,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.055363,            0.015713,                   0,             0.30749,             0.55758,             0.33965,             0.14962,            0.039772,           0.0094821,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.055841,            0.013994,                   0,             0.41167,             0.50303,             0.38109,             0.16023,            0.042838,           0.0083518,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.053234,            0.015038,                   0,             0.40498,             0.53333,              0.4045,             0.18085,            0.040333,           0.0088697,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.047625,            0.014231,                   0,             0.46886,             0.50826,             0.45834,             0.19387,            0.039326,           0.0083147,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.046742,            0.013703,                   0,             0.45894,             0.61818,             0.44616,             0.20373,            0.034091,           0.0084379,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.048992,            0.013231,                   0,             0.58662,              0.5697,             0.54478,             0.25898,            0.032463,           0.0085227,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.046716,            0.014416,                   0,             0.55791,             0.59394,             0.60546,             0.29787,            0.030333,           0.0084689,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.042077,            0.013014,                   0,             0.65769,              0.6303,             0.65408,             0.34568,            0.029154,           0.0075901,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.042556,            0.014356,                   0,             0.69987,             0.66424,             0.72349,             0.30083,            0.038318,           0.0071548,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.044082,            0.013261,                   0,             0.77725,             0.70909,             0.78326,             0.40153,            0.028937,           0.0072909,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.041336,            0.012006,                   0,             0.78194,             0.66061,             0.77933,             0.33904,            0.034191,           0.0074105,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.040738,            0.011312,                   0,             0.63541,             0.65487,              0.7022,             0.37912,             0.02967,           0.0072712,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.039013,            0.011526,                   0,             0.72374,              0.6986,             0.73945,             0.38771,            0.029109,           0.0068583,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.038308,            0.011543,                   0,              0.8603,             0.73939,             0.85884,             0.50787,            0.028674,           0.0062923,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.040478,             0.01131,                   0,              0.8966,             0.73572,             0.86424,              0.5285,            0.025594,           0.0061573,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.035137,            0.011124,                   0,              0.8336,             0.87273,             0.92451,             0.55193,            0.025995,           0.0060445,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.035359,            0.011649,                   0,             0.79422,             0.89697,             0.91686,             0.57004,            0.026209,           0.0056917,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.036234,            0.010649,                   0,             0.87776,             0.91387,             0.93265,             0.53285,            0.025093,           0.0054753,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.035962,           0.0091879,                   0,             0.74567,             0.88485,             0.89672,             0.49784,            0.023636,           0.0059861,                   0,            0.007624,            0.007624,            0.007624
                  26,             0.03723,           0.0097164,                   0,              0.8701,             0.85253,             0.91714,             0.54216,            0.023128,           0.0056258,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.037498,            0.010015,                   0,             0.84529,             0.90303,             0.92534,             0.52737,            0.024662,           0.0055701,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.035734,           0.0098109,                   0,             0.85626,             0.90258,             0.94663,             0.59175,             0.02307,           0.0054287,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.032852,            0.010845,                   0,             0.88517,             0.86667,             0.95233,             0.62505,            0.023071,            0.005237,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.032539,            0.010035,                   0,             0.86665,             0.86653,             0.95122,             0.64379,            0.020397,           0.0050712,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.032069,            0.010029,                   0,             0.89963,             0.92351,             0.96037,             0.65579,            0.020424,           0.0048262,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.032321,           0.0089444,                   0,             0.92911,             0.95324,             0.97811,             0.63831,            0.021683,           0.0046473,                   0,            0.006931,            0.006931,            0.006931
                  33,             0.03037,           0.0090473,                   0,             0.92244,              0.9371,             0.97759,             0.69191,            0.021088,           0.0045845,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.030798,           0.0086314,                   0,             0.92173,             0.92779,             0.97128,             0.64186,             0.02167,           0.0046861,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.028847,           0.0083623,                   0,             0.87473,             0.93104,             0.95833,             0.67074,            0.019979,           0.0045971,                   0,            0.006634,            0.006634,            0.006634
                  36,              0.0307,           0.0089515,                   0,             0.88297,             0.95152,             0.96441,             0.67452,            0.019697,           0.0047391,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.030388,           0.0096765,                   0,             0.96385,             0.93939,             0.98473,             0.67865,              0.0218,           0.0043661,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.031501,           0.0086726,                   0,             0.97814,             0.92121,             0.97859,             0.65925,            0.019182,           0.0044149,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.029786,           0.0077002,                   0,             0.96936,             0.95876,             0.98178,             0.67406,            0.020065,           0.0042662,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.029358,           0.0086645,                   0,             0.94513,             0.96364,             0.98178,             0.67939,            0.018628,           0.0042097,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.026821,            0.008326,                   0,             0.93922,             0.96364,             0.98144,             0.72507,            0.017019,           0.0042077,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.030526,           0.0087594,                   0,             0.97516,              0.9697,             0.99123,             0.71308,            0.018182,           0.0041739,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.026248,            0.008356,                   0,             0.98889,             0.95152,             0.99077,              0.7538,             0.01685,           0.0039947,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.028109,           0.0088401,                   0,             0.98831,             0.95152,             0.99133,             0.72494,            0.018519,           0.0039956,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.029906,           0.0080001,                   0,             0.98072,             0.97576,             0.99393,             0.73812,            0.017801,           0.0039462,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.028411,           0.0078037,                   0,             0.98705,             0.98182,             0.99464,             0.75692,            0.016717,           0.0038164,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.027475,            0.008096,                   0,             0.99217,             0.98788,             0.99465,             0.76485,            0.015683,           0.0038306,                   0,            0.005446,            0.005446,            0.005446
                  48,              0.0273,           0.0078933,                   0,             0.98786,             0.98606,              0.9944,             0.75959,            0.016653,           0.0037572,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.026045,           0.0074544,                   0,             0.96951,             0.98182,             0.99361,             0.75794,            0.016735,           0.0038012,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.024885,           0.0080644,                   0,             0.97586,             0.98008,             0.99314,             0.78285,            0.015014,           0.0037457,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.025786,           0.0084198,                   0,             0.96049,              0.9697,              0.9902,              0.7321,            0.017126,           0.0038413,                   0,             0.00505,             0.00505,             0.00505
                  52,             0.02786,           0.0074846,                   0,             0.97457,             0.98182,             0.99118,              0.7787,            0.015256,           0.0036858,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.025436,           0.0079638,                   0,             0.96294,             0.99394,             0.99176,              0.7329,            0.017581,           0.0036818,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.027207,           0.0080094,                   0,             0.98061,             0.98182,             0.99065,             0.74113,            0.015957,           0.0037927,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.023145,           0.0065644,                   0,             0.97924,             0.98788,             0.99415,             0.75167,            0.015056,            0.003562,                   0,            0.004654,            0.004654,            0.004654
                  56,             0.02648,            0.007068,                   0,             0.99147,             0.99394,              0.9947,             0.78827,            0.015844,           0.0033739,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.026168,           0.0074605,                   0,             0.98577,                   1,             0.99452,             0.79165,            0.015162,           0.0033065,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.023908,           0.0071777,                   0,             0.98102,             0.99394,             0.99451,             0.79528,            0.014477,            0.003209,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.022027,            0.007155,                   0,             0.97493,                   1,             0.99458,             0.81235,            0.014373,           0.0031978,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.022105,           0.0065932,                   0,                   1,             0.98149,              0.9947,             0.80058,             0.01512,           0.0032219,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.022177,           0.0071416,                   0,             0.99094,             0.98788,             0.99488,             0.79429,            0.014369,            0.003218,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.022943,           0.0060618,                   0,             0.98792,              0.9913,              0.9947,             0.81466,            0.014355,           0.0031362,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.022787,             0.00661,                   0,             0.98581,             0.98788,             0.99446,             0.80912,            0.013777,           0.0030917,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.022713,           0.0065135,                   0,             0.98744,                   1,             0.99494,             0.79356,              0.0142,            0.003072,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.022461,           0.0078576,                   0,                   1,             0.99335,               0.995,             0.79749,            0.013418,           0.0029949,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.020405,           0.0058657,                   0,             0.99848,                   1,               0.995,             0.81896,            0.013433,           0.0029133,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.023112,            0.006061,                   0,             0.99942,                   1,               0.995,             0.82411,            0.012716,           0.0029236,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.021897,           0.0062819,                   0,             0.99267,                   1,               0.995,             0.83823,             0.01295,           0.0028925,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.019713,           0.0067205,                   0,             0.99286,                   1,               0.995,             0.83783,            0.012745,           0.0028792,                   0,            0.003268,            0.003268,            0.003268
                  70,             0.02162,           0.0063156,                   0,             0.99398,             0.99991,               0.995,             0.83098,            0.013049,           0.0027939,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.020771,            0.006861,                   0,             0.99308,             0.99394,             0.99488,             0.82002,            0.012646,           0.0027679,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.022155,           0.0058017,                   0,             0.99343,                   1,             0.99488,             0.84756,            0.012209,           0.0028474,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.022442,           0.0065635,                   0,             0.99306,                   1,             0.99494,             0.85553,            0.012035,            0.002794,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.021312,           0.0061858,                   0,             0.99322,                   1,             0.99494,              0.8505,            0.011434,           0.0027033,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.020154,           0.0061791,                   0,             0.99615,                   1,               0.995,             0.83549,             0.01156,            0.002688,                   0,            0.002674,            0.002674,            0.002674
                  76,             0.01985,           0.0062003,                   0,             0.99318,                   1,             0.99494,             0.85369,            0.011271,           0.0026913,                   0,            0.002575,            0.002575,            0.002575
                  77,             0.01926,           0.0058655,                   0,                   1,             0.99828,               0.995,             0.83432,            0.011444,           0.0027699,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.020833,           0.0054813,                   0,             0.99397,             0.99947,             0.99494,             0.85641,             0.01191,           0.0027121,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.020133,           0.0066262,                   0,             0.99314,                   1,             0.99494,             0.86304,            0.011136,           0.0026323,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.018731,           0.0056208,                   0,             0.99289,                   1,               0.995,             0.85857,            0.010677,           0.0026537,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.018864,           0.0055978,                   0,                   1,             0.99353,               0.995,             0.85229,            0.010936,           0.0026479,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.019508,           0.0066905,                   0,                   1,             0.99322,               0.995,             0.86206,            0.010892,           0.0026141,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.019101,           0.0062078,                   0,                   1,             0.99848,               0.995,             0.86204,            0.010444,           0.0025354,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.019499,            0.005437,                   0,             0.99887,                   1,               0.995,             0.86529,            0.010548,           0.0025413,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.018757,           0.0060227,                   0,             0.99849,                   1,               0.995,             0.86178,            0.010395,            0.002529,                   0,            0.001684,            0.001684,            0.001684
                  86,             0.01812,           0.0060628,                   0,              0.9989,                   1,               0.995,              0.8693,             0.01058,           0.0025403,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.018027,           0.0061799,                   0,             0.99826,                   1,               0.995,             0.87118,            0.010307,           0.0024951,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.018973,            0.005207,                   0,             0.99818,                   1,               0.995,             0.87302,            0.010271,           0.0024904,                   0,            0.001387,            0.001387,            0.001387
                  89,             0.01827,           0.0057333,                   0,             0.99907,                   1,               0.995,             0.87121,            0.010116,            0.002492,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.018572,           0.0054026,                   0,             0.99905,                   1,               0.995,             0.86927,           0.0098485,           0.0024946,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.017965,           0.0053963,                   0,             0.99938,                   1,               0.995,             0.87486,            0.009649,           0.0024462,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.018054,           0.0061129,                   0,             0.99938,                   1,               0.995,             0.88242,           0.0093419,           0.0024326,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.017311,           0.0055184,                   0,             0.99915,                   1,               0.995,             0.88164,           0.0093791,           0.0024211,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.017057,           0.0056516,                   0,             0.99922,                   1,               0.995,              0.8795,           0.0094016,            0.002399,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.016162,            0.004802,                   0,             0.99921,                   1,               0.995,             0.88056,           0.0092269,           0.0023537,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.017817,             0.00551,                   0,             0.99936,                   1,               0.995,             0.88673,           0.0090729,           0.0023441,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.018353,           0.0056955,                   0,             0.99936,                   1,               0.995,             0.88683,           0.0090835,            0.002354,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.016908,             0.00556,                   0,             0.99929,                   1,               0.995,             0.88935,            0.008894,           0.0023619,                   0,            0.000397,            0.000397,            0.000397
                  99,               0.017,           0.0057956,                   0,             0.99924,                   1,               0.995,             0.89555,           0.0087208,           0.0023537,                   0,            0.000298,            0.000298,            0.000298
